Estacion,Anio,Mes,Precip,Tmax,Tmin,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Radiacion_Estimada,temp_lag1,radiacion_lag1,target_lluvia
acolman,1986,4,24.3,26.833333333333332,6.333333333333333,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.2800000000000002,24.322580645161292,3.7032258064516133,1
acolman,1986,5,32.9,25.822580645161292,9.419354838709678,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.6245161290322585,26.833333333333332,3.2800000000000002,1
acolman,1986,6,223.6,24.166666666666668,11.3,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.058666666666667,25.822580645161292,2.6245161290322585,1
acolman,1986,7,78.89999999999999,23.903225806451612,8.661290322580646,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.4387096774193546,24.166666666666668,2.058666666666667,1
acolman,1986,8,147.2,24.306451612903224,8.741935483870968,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.490322580645161,23.903225806451612,2.4387096774193546,1
acolman,1986,9,24.3,24.816666666666666,8.583333333333334,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.5973333333333337,24.306451612903224,2.490322580645161,1
acolman,1986,10,108.6,23.612903225806452,7.548387096774194,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.570322580645161,24.816666666666666,2.5973333333333337,1
acolman,1986,11,13.0,22.533333333333335,4.75,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.8453333333333335,23.612903225806452,2.570322580645161,1
acolman,1986,12,0.3,21.85483870967742,2.467741935483871,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.101935483870968,22.533333333333335,2.8453333333333335,1
acolman,1987,1,0.2,22.258064516129032,0.5,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.4812903225806453,21.85483870967742,3.101935483870968,1
acolman,1987,2,2.5,22.75,2.5892857142857144,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.2257142857142855,22.258064516129032,3.4812903225806453,1
acolman,1987,3,11.4,23.516129032258064,4.241935483870968,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.0838709677419356,22.75,3.2257142857142855,1
acolman,1987,4,16.2,25.183333333333334,5.866666666666666,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.090666666666667,23.516129032258064,3.0838709677419356,1
acolman,1987,5,24.5,26.322580645161292,7.112903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.0735483870967744,25.183333333333334,3.090666666666667,1
acolman,1987,6,134.0,25.066666666666666,10.283333333333333,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.3653333333333335,26.322580645161292,3.0735483870967744,1
acolman,1987,7,135.5,23.370967741935484,10.419354838709678,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.072258064516129,25.066666666666666,2.3653333333333335,1
acolman,1987,8,132.7,24.951612903225808,9.016129032258064,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.5496774193548393,23.370967741935484,2.072258064516129,1
acolman,1987,9,75.1,25.533333333333335,9.683333333333334,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.5360000000000005,24.951612903225808,2.5496774193548393,1
acolman,1987,10,0.0,23.096774193548388,4.112903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.03741935483871,25.533333333333335,2.5360000000000005,0
acolman,1987,11,4.9,22.733333333333334,3.316666666666667,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.106666666666667,23.096774193548388,3.03741935483871,1
acolman,1987,12,0.0,23.096774193548388,2.661290322580645,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.269677419354839,22.733333333333334,3.106666666666667,0
acolman,1988,1,0.6000000000000001,20.016129032258064,-0.06451612903225806,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.212903225806452,23.096774193548388,3.269677419354839,1
acolman,1988,2,4.6,23.120689655172413,3.086206896551724,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.2055172413793107,20.016129032258064,3.212903225806452,1
acolman,1988,3,46.7,23.274193548387096,4.693548387096774,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.9729032258064514,23.120689655172413,3.2055172413793107,1
acolman,1988,4,23.599999999999998,26.8,7.516666666666667,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.0853333333333337,23.274193548387096,2.9729032258064514,1
acolman,1988,5,33.7,28.0,8.080645161290322,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.1870967741935488,26.8,3.0853333333333337,1
acolman,1988,6,141.2,24.416666666666668,10.0,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.306666666666667,28.0,3.1870967741935488,1
acolman,1988,7,128.0,24.306451612903224,10.0,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.2890322580645157,24.416666666666668,2.306666666666667,1
acolman,1988,8,62.5,24.258064516129032,9.112903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.423225806451613,24.306451612903224,2.2890322580645157,1
